company/brand,stage,amount,location,what_it_does,funded_year,investors,founded,sector,headquarter,founders,investor,column10
BizCrum Infotech Pvt. Ltd.,Seed funding,566999.3634413877,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,2018.0,Undisclosed,2018.0,Business Services,New Delhi,,,
Emojifi,Seed funding,566999.3634413877,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Flock,Seed funding,566999.3634413877,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018.0,Undisclosed,2018.0,IT & Technology,New delhi,,,
Freshboxx,Seed funding,566999.3634413877,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018.0,Undisclosed,2018.0,Transportation & Logistics,Hubli,,,
Wide Mobility Mechatronics,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
Pitstop,Seed funding,1459996.8172069383,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
Mihuru,Seed funding,150000.0,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Fyle,Seed funding,1100000.0,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,2018.0,Undisclosed,2018.0,Business Services,Bangalore,,,
AppWharf,Seed funding,566999.3634413877,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018.0,Undisclosed,2018.0,IT & Technology,New Delhi,,,
Antariksh Waste Ventures Pvt ltd,Seed funding,7299.984086034692,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,2018.0,Undisclosed,2018.0,IT & Technology,Chennai,,,
Cogoport,Series A,6000000.0,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Mumbai,,,
PaisaDukan,Seed funding,650000.0,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Sleepy Owl Coffee,Seed funding,510998.88602242846,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018.0,Undisclosed,2018.0,Consumer Goods,New Delhi,,,
BlueJack,Seed funding,934397.9630124406,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,2018.0,Undisclosed,2018.0,Manufacturing,New Delhi,,,
PregBuddy,Seed funding,566999.3634413877,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
AgNext Technologies,Series A,566999.3634413877,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018.0,Undisclosed,2018.0,Agriculture,Mohali,,,
Pando,Seed funding,2000000.0,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Chennai,,,
Mintifi,Seed funding,2000000.0,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Carcrew,Seed funding,2000000.0,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,2018.0,Undisclosed,2018.0,Manufacturing,Mumbai,,,
NicheAI,Seed funding,566999.3634413877,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,2018.0,Undisclosed,2018.0,IT & Technology,Hyderabad,,,
Chariot Tech,Seed funding,291999.36344138766,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018.0,Undisclosed,2018.0,IT & Technology,New Delhi,,,
Ideal Insurance Brokers/ 121Policy.com,Seed funding,1000000.0,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018.0,Undisclosed,2018.0,Financial Services,Kolkata,,,
Loanzen,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018.0,Undisclosed,2018.0,Financial Services,Bangalore,,,
Mojro Technologies,Seed funding,650000.0,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Elemential,Seed funding,1000000.0,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018.0,Undisclosed,2018.0,IT & Technology,Mumbai,,,
Loadshare,Series A,5000000.0,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
Yumlane,Series A,4000000.0,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,2018.0,Undisclosed,2018.0,Consumer Goods,Mumbai,,,
Kriger Campus,Seed funding,437999.04516208154,"New Delhi, Delhi, India",A Education Start Up.,2018.0,Undisclosed,2018.0,Education,New Delhi,,,
Pipa+Bella,Series A,1000000.0,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018.0,Undisclosed,2018.0,Retail,Mumbai,,,
Kaleidofin,Seed funding,2800000.0,"Chennai, Tamil Nadu, India",A fintech platform.,2018.0,Undisclosed,2018.0,Financial Services,Chennai,,,
Chakr Innovation,Seed funding,566999.3634413877,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018.0,Undisclosed,2018.0,IT & Technology,New Delhi,,,
IndigoLearn,Seed funding,150000.0,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,2018.0,Undisclosed,2018.0,Education,Hyderabad,,,
UClean,Seed funding,583998.7268827753,"India, Asia",UClean is a tech enabled laundry service provider.,2018.0,Undisclosed,2018.0,Energy,New delhi,,,
Coutloot,Seed funding,1000000.0,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,2018.0,Undisclosed,2018.0,Retail,Mumbai,,,
Letstrack,Seed funding,1700000.0,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018.0,Undisclosed,2018.0,IT & Technology,New Delhi,,,
Pooltoo,Seed funding,566999.3634413877,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,2018.0,Undisclosed,2018.0,Transportation & Logistics,New Delhi,,,
Finzy,Seed funding,1300000.0,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,2018.0,Undisclosed,2018.0,Financial Services,Bangalore,,,
Fitternity,Seed funding,2000000.0,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018.0,Undisclosed,2018.0,Sports,Mumbai,,,
Keito,Seed funding,566999.3634413877,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,2018.0,Undisclosed,2018.0,IT & Technology,Pune,,,
Tolet for Students,Seed funding,72999.84086034691,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018.0,Undisclosed,2018.0,Travel & Tourism,Jodhpur,,,
Chai Kings,Seed funding,291999.36344138766,"Chennai, Tamil Nadu, India",Chai Kings is a tea retail chain,2018.0,Undisclosed,2018.0,Consumer Goods,Chennai,,,
Dainik Jagran,Seed funding,583998.7268827753,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group.,2018.0,Undisclosed,2018.0,Media & Entertainment,Kanpur,,,
Playtoome,Seed funding,291999.36344138766,"Bengaluru, Karnataka, India",Playtoome is a live entertainment destination,2018.0,Undisclosed,2018.0,Media & Entertainment,Bangalore,,,
ONGO Framework,Seed funding,1000000.0,"Hyderabad, Andhra Pradesh, India",ONGO Framework is a B2B IT and digital solution provider.,2018.0,Undisclosed,2018.0,Business Services,Hyderabad,,,
Notesgen,Seed funding,182499.6021508673,"New Delhi, Delhi, India",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018.0,Undisclosed,2018.0,Education,New Delhi,,,
Arogya MedTech,Seed funding,218999.52258104077,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Kolkata,,,
Propshop24,Seed funding,500000.0,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018.0,Undisclosed,2018.0,Retail,Mumbai,,,
myUpchar,Series A,5000000.0,"New Delhi, Delhi, India",To bring health issues to people in their language.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,New Delhi,,,
MissMalini Entertainment,Seed funding,1518396.689895216,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018.0,Undisclosed,2018.0,Media & Entertainment,Mumbai,,,
Rooter,Seed funding,656998.5677431222,"India, Asia",Rooter is a mobile-based platform,2018.0,Undisclosed,2018.0,Sports,New delhi,,,
ZestMoney,Series A,13400000.0,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
alphaics Corporation,Seed funding,566999.3634413877,"Bengaluru, Karnataka, India",Advancing AI compute,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
MyDentistChoice,Seed funding,500000.0,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Hyderabad,,,
Sattviko,Seed funding,566999.3634413877,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018.0,Undisclosed,2018.0,Consumer Goods,New Delhi,,,
Sensibull,Seed funding,364999.2043017346,"Bangalore, Karnataka, India",Investment Management Platform,2018.0,Undisclosed,2018.0,Financial Services,Bangalore,,,
Bombay Shaving Company,Series A,566999.3634413877,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup,2018.0,Undisclosed,2018.0,Consumer Goods,New Delhi,,,
MedCords,Seed funding,385439.1597426317,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Pune,,,
University Living,Seed funding,566999.3634413877,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.,2018.0,Undisclosed,2018.0,Education,New Delhi,,,
&ME,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018.0,Undisclosed,2018.0,Consumer Goods,Bangalore,,,
Enakshi,Seed funding,116799.74537655507,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.,2018.0,Undisclosed,2018.0,Consumer Goods,Ahmedabad,,,
Ultraviolette Automotive,Series A,875.9980903241631,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
Inthree Access,Series A,4000000.0,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018.0,Undisclosed,2018.0,Business Services,Chennai,,,
BUGWORKS Research India,Series A,9000000.0,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Bangalore,,,
Guardian.in,Seed funding,566999.3634413877,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Mumbai,,,
PrestLoans,Seed funding,100000.0,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018.0,Undisclosed,2018.0,Financial Services,New Delhi,,,
Wimoxez,Seed funding,20000.0,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018.0,Undisclosed,2018.0,IT & Technology,Hyderabad,,,
India Accelerator,Seed funding,566999.3634413877,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018.0,Undisclosed,2018.0,IT & Technology,Gurgaon,,,
HappyEMI,Seed funding,1000000.0,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018.0,Undisclosed,2018.0,Consumer Goods,Bangalore,,,
Wishup,Seed funding,566999.3634413877,"Azadpur, Delhi, India",Premium Personal Assistance service,2018.0,Undisclosed,2018.0,IT & Technology,Azadpur,,,
Hansel.io,Series A,4000000.0,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
Propelld,Seed funding,250000.0,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.,2018.0,Undisclosed,2018.0,Education,Bangalore,,,
PivotRoots,Series A,566999.3634413877,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking,2018.0,Undisclosed,2018.0,Media & Entertainment,Mumbai,,,
ZiffyHomes,Seed funding,120000.0,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.,2018.0,Undisclosed,2018.0,Retail,New Delhi,,,
Carmesi,Seed funding,496398.91785035905,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Gurgaon,,,
OckyPocky,Seed funding,566999.3634413877,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.,2018.0,Undisclosed,2018.0,Education,Chandigarh,,,
Racetrack,Seed funding,4993189.114847729,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
WHR,Seed funding,143145.0,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Pune,,,
Asteria Aerospace,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
FabAlley,Series B,8759980.90324163,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018.0,Undisclosed,2018.0,Retail,Noida,,,
Tranzmeo,Pre-Seed funding,566999.3634413877,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018.0,Undisclosed,2018.0,IT & Technology,Cochin,,,
SBI Life,Private Equity,742000000.0,"Mumbai, Maharashtra, India",SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Studds Accessories,Private Equity,14599968.172069384,"Faridabad, Haryana, India",Studds Accessories is a scooter accessories service provider in India,2018.0,Undisclosed,2018.0,Retail,Faridabad,,,
Design Cafe,Series B,29199936.344138768,"Bengaluru, Karnataka, India","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018.0,Undisclosed,2018.0,Consumer Goods,Bangalore,,,
NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,"New Delhi, Delhi, India","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018.0,Undisclosed,2018.0,Education,New Delhi,,,
Rays Power Infra,Series A,29199936.344138768,"Jaipur, Rajasthan, India",Rays Power Infra is a leading integrated Solar Power Company.,2018.0,Undisclosed,2018.0,IT & Technology,Jaipur,,,
AuthMetrik,Seed funding,10000.0,"Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018.0,Undisclosed,2018.0,Business Services,Gurgaon,,,
Khidki,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Vernacular Social Network Focused on Town Level Content and Interactions,2018.0,Undisclosed,2018.0,IT & Technology,Bangalore,,,
LetsTransport,Series B,14599968.172069384,"Bangalore, Karnataka, India",Lets transport is a logistics solution provider.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Bangalore,,,
Next Digital Solutions,Seed funding,1459.9968172069384,"Kota, Rajasthan, India",Next Digital Solutions is website design & Digital Marketing development company.,2018.0,Undisclosed,2018.0,Media & Entertainment,Kota,,,
Portea Medical,Series A,3649992.043017346,"Bangalore, Karnataka, India",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Bangalore,,,
Aavas Financiers,Post-IPO Debt,29199936.344138768,"Jaipur, Rajasthan, India","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018.0,Undisclosed,2018.0,Financial Services,Jaipur,,,
Swiggy,Series H,1000000000.0,"Bangalore, Karnataka, India",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018.0,Undisclosed,2018.0,Transportation & Logistics,Bangalore,,,
Milkbasket,Series A,7000000.0,"Haryana, Haryana, India","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018.0,Undisclosed,2018.0,Retail,Chandigarh,,,
Nutrisattva (Proliva),Seed funding,566999.3634413877,"Anand, Gujarat, India",Nutrisattva is a protein innovation compan,2018.0,Undisclosed,2018.0,Sports,Anand,,,
Toppr,Series C,35000000.0,"Mumbai, Maharashtra, India",Toppr.com is an online preparation platform for entrance exams in India.,2018.0,Undisclosed,2018.0,Education,Mumbai,,,
Jagaran Microfin,Series A,8029982.494638161,"Kolkata, West Bengal, India",Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018.0,Undisclosed,2018.0,Financial Services,Kolkata,,,
Vivriti Capital,Series A,28500000.0,"Chennai, Tamil Nadu, India",Vivriti Capital is an online platform for institutional debt in India.,2018.0,Undisclosed,2018.0,Financial Services,Chennai,,,
Be U Salons,Seed funding,437999.04516208154,"New Delhi, Delhi, India",Be U is India's first subscription based Salon Chain.,2018.0,Undisclosed,2018.0,IT & Technology,New Delhi,,,
Impact Guru,Series A,2000000.0,"Mumbai, Maharashtra, India","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018.0,Undisclosed,2018.0,Business Services,Mumbai,,,
MobiKwik,Series E,3503992.3612966524,"Gurgaon, Haryana, India",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018.0,Undisclosed,2018.0,Financial Services,Gurgaon,,,
Stones2Milestones,Seed funding,566999.3634413877,"Gurgaon, Haryana, India",Stones2milestones is a Gurgaon Based Learning Company.,2018.0,Undisclosed,2018.0,Education,Gurgaon,,,
Generico,Series A,566999.3634413877,"Mumbai, Maharashtra, India",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Mumbai,,,
Adiuvo Diagnostics,Seed funding,566999.3634413877,"Chennai, Tamil Nadu, India",Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Chennai,,,
DataTrained,Seed funding,1751996.1806483262,"Bangalore, Karnataka, India","DataTrained is a educational platform, which operates an ed-tech startup on data science",2018.0,Undisclosed,2018.0,Education,Bangalore,,,
OneAssist,Series A,2400000.0,"Mumbai, Maharashtra, India",OneAssist is a protection & assistance services platform.,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Satin Creditcare Network Limited (SCNL),Post-IPO Debt,30000000.0,"New Delhi, Delhi, India",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018.0,Undisclosed,2018.0,Financial Services,New Delhi,,,
APAC Financial Services,Private Equity,36499920.43017346,"Mumbai, Maharashtra, India",APAC Financial Services is a financial services platform.,2018.0,Undisclosed,2018.0,Financial Services,Mumbai,,,
Moglix,Series C,23000000.0,"Noida, Uttar Pradesh, India","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018.0,Undisclosed,2018.0,Business Services,Noida,,,
SEDEMAC Mechatronics,Series A,566999.3634413877,"Mumbai, Maharashtra, India",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018.0,Undisclosed,2018.0,Manufacturing,Mumbai,,,
MadGuy Labs,Series A,150000.0,"Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform.,2018.0,Undisclosed,2018.0,Education,Hyderabad,,,
Dee Dee Labs,Seed funding,566999.3634413877,"Pune, Maharashtra, India",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018.0,Undisclosed,2018.0,IT & Technology,Pune,,,
FLEECA,Seed funding,566999.3634413877,"Jaipur, Rajasthan, India",FLEECA is a Tyre Care Provider company.,2018.0,Undisclosed,2018.0,Consumer Goods,Jaipur,,,
Shop101,Series B,11000000.0,"Mumbai, Maharashtra, India",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018.0,Undisclosed,2018.0,IT & Technology,Mumbai,,,
FeedMyPockets,Seed funding,642398.5995710529,"Bangalore City, Karnataka, India",On Demand Staffing Platform,2018.0,Undisclosed,2018.0,Media & Entertainment,Bangalore,,,
Housejoy,Series B,3240000.0,"Bengaluru, Karnataka, India",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018.0,Undisclosed,2018.0,Consumer Goods,Bangalore,,,
Ambee,Seed funding,566999.3634413877,"Bangalore, Karnataka, India",Ambee is an Environment analytics startup.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Bangalore,,,
FoodBuddy,Seed funding,875998.0903241631,"Belgaum, Karnataka, India","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018.0,Undisclosed,2018.0,Transportation & Logistics,Belgaum,,,
Ninjacart,Series B,36499920.43017346,"Bengaluru, Karnataka, India",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018.0,Undisclosed,2018.0,Agriculture,Bangalore,,,
Olly Smart Credit Card,Seed funding,566999.3634413877,"New Delhi, Delhi, India",Olly is a digital credit card for India's working masses and young people.,2018.0,Undisclosed,2018.0,Financial Services,New Delhi,,,
Zestl,Seed funding,566999.3634413877,"Pune, Maharashtra, India","No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018.0,Undisclosed,2018.0,IT & Technology,Pune,,,
BYJU’S,Private Equity,540000000.0,"Bangalore, Karnataka, India",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018.0,Undisclosed,2018.0,Education,Bangalore,,,
Wakefit,Series A,9489979.3118451,"Bangalore, Karnataka, India",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018.0,Undisclosed,2018.0,Manufacturing,Bangalore,,,
Hero Electric,Series A,23359949.075311013,"New Delhi, Delhi, India","Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018.0,Undisclosed,2018.0,Manufacturing,New Delhi,,,
Pentation Analytics,Seed funding,566999.3634413877,"Mumbai, Maharashtra, India",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018.0,Undisclosed,2018.0,IT & Technology,Mumbai,,,
PerkFinance,Seed funding,900000.0,"Bangalore, Karnataka, India",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018.0,Undisclosed,2018.0,Financial Services,Bangalore,,,
Roposo,Series C,10000000.0,"Gurgaon, Haryana, India",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018.0,Undisclosed,2018.0,IT & Technology,Gurgaon,,,
Plum Goodness,Series A,566999.3634413877,"Thane, Maharashtra, India",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018.0,Undisclosed,2018.0,Consumer Goods,Thane,,,
Drstore,Seed funding,566999.3634413877,"Mumbai, Maharashtra, India",Drstore is a exclusive e- commerce platform.,2018.0,Undisclosed,2018.0,Healthcare & Life Sciences,Mumbai,,,
Wow Venue,Series A,1500000.0,"Mumbai, Maharashtra, India",Wow Venue is an online platform.,2018.0,Undisclosed,2018.0,Travel & Tourism,Mumbai,,,
Chizel,Seed funding,566999.3634413877,"Pune, Maharashtra, India",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018.0,Undisclosed,2018.0,IT & Technology,Pune,,,
OTO Capital,Seed funding,729998.4086034691,"Mumbai, Maharashtra, India",OTO Capital is a platform that allows you to own a car faster than ever.,2018.0,Undisclosed,2018.0,Manufacturing,Mumbai,,,
Boodmo,Seed funding,1021997.7720448569,"Gurgaon, Haryana, India",boodmo.com - large online marketplace for auto parts in India.,2018.0,Undisclosed,2018.0,Manufacturing,Gurgaon,,,
